Brand,Model,Fuel type,Transmission,First Registration Year,Milleage (kms),Engine Power (PS),Price (EUR)
Mazda,Tribute,Benzin,Schaltgetriebe,06/2001,136000,124.0,1490.0
Kia,Sorento,Diesel,Schaltgetriebe,01/2003,192000,140.0,1900.0
Toyota,RAV 4,Benzin,Schaltgetriebe,01/1998,266000,128.0,2750.0
BMW,X3,Diesel,Schaltgetriebe,06/2005,320000,204.0,3999.0
Ford,Expedition,Benzin,Automatik,07/2005,275500,305.0,4299.0
Opel,Antara,Diesel,Automatik,06/2007,193163,150.0,4490.0
Mitsubishi,Outlander,Benzin,Schaltgetriebe,08/2006,171809,160.0,4500.0
Land Rover,Freelander,Diesel,Automatik,08/2005,186999,109.0,4975.0
BMW,X5,Diesel,Automatik,07/2002,173000,184.0,5680.0
Ford,Kuga,Diesel,Schaltgetriebe,02/2011,310000,140.0,6275.0
Nissan,Murano,Benzin,Automatik,11/2008,138000,256.0,6499.0
Mazda,CX-7,Benzin,Schaltgetriebe,05/2008,157000,260.0,6499.0
Hyundai,Tucson,Diesel,Schaltgetriebe,05/2007,109629,140.0,6570.0
Dacia,Duster,Benzin,Schaltgetriebe,12/2015,69114,125.0,6590.0
Mercedes-Benz,ML 270,Diesel,Automatik,08/2002,168000,163.0,6900.0
Nissan,Qashqai,Benzin,Schaltgetriebe,12/2009,124800,141.0,6980.0
Skoda,Yeti,Benzin,Schaltgetriebe,03/2012,136040,105.0,6980.0
Dacia,Sandero,Benzin,Schaltgetriebe,10/2013,77000,90.0,6990.0
BMW,X5,Diesel,Automatik,08/2004,89449,218.0,6999.0
Kia,Sportage,Autogas (LPG),Schaltgetriebe,07/2008,112088,141.0,6999.0
Kia,Soul,Diesel,Automatik,05/2009,113644,128.0,6999.0
Skoda,Yeti,Benzin,Schaltgetriebe,07/2010,77000,105.0,7490.0
Mitsubishi,Outlander,Diesel,Automatik,06/2011,164993,156.0,7490.0
Volkswagen,Tiguan,Benzin,Schaltgetriebe,09/2010,112049,150.0,7490.0
Volkswagen,Tiguan,Diesel,Automatik,01/2009,229900,140.0,7495.0
Hyundai,iX35,Benzin,Schaltgetriebe,07/2012,150000,135.0,7500.0
Kia,Soul,Benzin,Schaltgetriebe,12/2012,90000,126.0,7699.0
Nissan,Juke,Benzin,Automatik,08/2011,32000,117.0,7799.0
Nissan,Qashqai,Diesel,Schaltgetriebe,10/2011,112000,110.0,7900.0
Volvo,XC90,Diesel,Schaltgetriebe,06/2005,132647,163.0,7950.0
Hyundai,iX35,Benzin,Schaltgetriebe,11/2011,134468,135.0,7990.0
Volkswagen,Tiguan,Benzin,Schaltgetriebe,01/2011,133000,150.0,7990.0
Skoda,Yeti,Benzin,Schaltgetriebe,10/2013,96544,105.0,7990.0
Audi,Q7,Benzin,Automatik,02/2006,168000,349.0,7995.0
Peugeot,2008,Benzin,Schaltgetriebe,07/2013,74920,120.0,8290.0
Volvo,XC60,Diesel,Automatik,03/2009,243100,185.0,8400.0
Citroen,C4 Cactus,Diesel,Automatik,06/2015,110000,92.0,8450.0
Renault,Captur,Benzin,Schaltgetriebe,07/2013,63060,90.0,8470.0
Jeep,Compass,Benzin,Schaltgetriebe,07/2011,126196,163.0,8480.0
Dacia,Duster,Benzin,Schaltgetriebe,11/2015,100471,114.0,8490.0
Nissan,Juke,Benzin,Schaltgetriebe,01/2014,69665,94.0,8690.0
Mazda,CX-7,Diesel,Schaltgetriebe,08/2010,125000,173.0,8700.0
Ford,Kuga,Diesel,Schaltgetriebe,01/2011,152000,140.0,8777.0
Renault,Captur,Benzin,Schaltgetriebe,06/2015,67031,90.0,8780.0
Skoda,Yeti,Diesel,Schaltgetriebe,02/2014,132300,110.0,8791.0
Renault,Captur,Benzin,Schaltgetriebe,03/2015,89500,90.0,8795.0
Volkswagen,Tiguan,Benzin,Schaltgetriebe,08/2012,120100,122.0,8800.0
Skoda,Yeti,Benzin,Schaltgetriebe,06/2012,126796,122.0,8880.0
Nissan,Juke,Diesel,Schaltgetriebe,10/2015,128900,110.0,8888.0
Hyundai,iX35,Benzin,Automatik,09/2011,104082,163.0,8900.0
Dacia,Duster,Benzin,Schaltgetriebe,04/2012,104130,105.0,8945.0
BMW,X1,Diesel,Automatik,01/2011,233200,177.0,8980.0
Hyundai,Tucson,Diesel,Schaltgetriebe,04/2012,81400,116.0,8980.0
Nissan,Qashqai,Benzin,Schaltgetriebe,02/2012,86270,117.0,8990.0
Peugeot,2008,Diesel,Schaltgetriebe,05/2013,61300,114.0,8990.0
Dacia,Duster,Benzin,Schaltgetriebe,07/2015,60055,105.0,8990.0
Fiat,Panda,Diesel,Schaltgetriebe,12/2014,74600,75.0,8990.0
Mercedes-Benz,ML 320,Diesel,Automatik,01/2006,185667,224.0,8990.0
Dacia,Duster,Diesel,Schaltgetriebe,05/2015,80310,110.0,8990.0
Ford,EcoSport,Benzin,Schaltgetriebe,11/2014,67000,111.0,8995.0
Porsche,Cayenne,Benzin,Automatik,04/2003,144900,340.0,8998.0
Chevrolet,Captiva,Benzin,Schaltgetriebe,07/2012,81182,167.0,8999.0
Nissan,Qashqai,Benzin,Schaltgetriebe,03/2012,125000,141.0,8999.0
Nissan,Juke,Benzin,Schaltgetriebe,02/2013,56000,117.0,8999.0
Nissan,Qashqai,Benzin,Schaltgetriebe,09/2014,150000,116.0,8999.0
Opel,Mokka X,Benzin,Schaltgetriebe,10/2012,86240,140.0,9069.0
Hyundai,iX35,Benzin,Schaltgetriebe,04/2013,94800,135.0,9180.0
Dacia,Duster,Benzin,Schaltgetriebe,-/- (Erstzulassung),100,101.0,9202.0
Dacia,Duster,Benzin,Schaltgetriebe,-/- (Erstzulassung),100,101.0,9202.0
Ford,EcoSport,Benzin,Schaltgetriebe,02/2015,103371,125.0,9290.0
Skoda,Yeti,Benzin,Schaltgetriebe,05/2013,70800,122.0,9330.0
